PDDL domain,PDDL problem,LTLf goal,Cooperative moves counter
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee14.ltlf,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee15.ltlf,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee16.ltlf,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee2.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee3.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee4.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee5.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee6.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee7.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee8.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee9.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee10.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee11.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee12.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee13.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee14.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee15.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_4/new_new_coffee16.ltlf,1
